hemisphere,network,region,short_name,full_label,roi_index,roi_number
LH,Vis,1,LH-Vis-1,7Networks_LH_Vis_1,0,1
LH,Vis,2,LH-Vis-2,7Networks_LH_Vis_2,1,2
LH,Vis,3,LH-Vis-3,7Networks_LH_Vis_3,2,3
LH,Vis,4,LH-Vis-4,7Networks_LH_Vis_4,3,4
LH,Vis,5,LH-Vis-5,7Networks_LH_Vis_5,4,5
LH,Vis,6,LH-Vis-6,7Networks_LH_Vis_6,5,6
LH,Vis,7,LH-Vis-7,7Networks_LH_Vis_7,6,7
LH,Vis,8,LH-Vis-8,7Networks_LH_Vis_8,7,8
LH,Vis,9,LH-Vis-9,7Networks_LH_Vis_9,8,9
LH,SomMot,1,LH-SomMot-1,7Networks_LH_SomMot_1,9,10
LH,SomMot,2,LH-SomMot-2,7Networks_LH_SomMot_2,10,11
LH,SomMot,3,LH-SomMot-3,7Networks_LH_SomMot_3,11,12
LH,SomMot,4,LH-SomMot-4,7Networks_LH_SomMot_4,12,13
LH,SomMot,5,LH-SomMot-5,7Networks_LH_SomMot_5,13,14
LH,SomMot,6,LH-SomMot-6,7Networks_LH_SomMot_6,14,15
LH,DorsAttn,Post_1,LH-DorsAttn-Post_1,7Networks_LH_DorsAttn_Post_1,15,16
LH,DorsAttn,Post_2,LH-DorsAttn-Post_2,7Networks_LH_DorsAttn_Post_2,16,17
LH,DorsAttn,Post_3,LH-DorsAttn-Post_3,7Networks_LH_DorsAttn_Post_3,17,18
LH,DorsAttn,Post_4,LH-DorsAttn-Post_4,7Networks_LH_DorsAttn_Post_4,18,19
LH,DorsAttn,Post_5,LH-DorsAttn-Post_5,7Networks_LH_DorsAttn_Post_5,19,20
LH,DorsAttn,Post_6,LH-DorsAttn-Post_6,7Networks_LH_DorsAttn_Post_6,20,21
LH,DorsAttn,PrCv_1,LH-DorsAttn-PrCv_1,7Networks_LH_DorsAttn_PrCv_1,21,22
LH,DorsAttn,FEF_1,LH-DorsAttn-FEF_1,7Networks_LH_DorsAttn_FEF_1,22,23
LH,SalVentAttn,ParOper_1,LH-SalVentAttn-ParOper_1,7Networks_LH_SalVentAttn_ParOper_1,23,24
LH,SalVentAttn,FrOperIns_1,LH-SalVentAttn-FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_1,24,25
LH,SalVentAttn,FrOperIns_2,LH-SalVentAttn-FrOperIns_2,7Networks_LH_SalVentAttn_FrOperIns_2,25,26
LH,SalVentAttn,PFCl_1,LH-SalVentAttn-PFCl_1,7Networks_LH_SalVentAttn_PFCl_1,26,27
LH,SalVentAttn,Med_1,LH-SalVentAttn-Med_1,7Networks_LH_SalVentAttn_Med_1,27,28
LH,SalVentAttn,Med_2,LH-SalVentAttn-Med_2,7Networks_LH_SalVentAttn_Med_2,28,29
LH,SalVentAttn,Med_3,LH-SalVentAttn-Med_3,7Networks_LH_SalVentAttn_Med_3,29,30
